userName,score,at,content
Edo Koropit,1,2025-12-09 03:54:33,percuma ada menu klaim JHT online tapi tidak bisa melakukan claim dan kunjungan langsung antrian nda jelas sehingga seenaknya minta balik besok perlu pembenahan pelayanan online dan offline lambat
Kenzy,5,2025-12-09 03:51:20,Alhamdulillah
DC. ARYADI,5,2025-12-09 03:49:26,baik sekali
Aldi Saputra,5,2025-12-09 03:46:02,Sangat bagus
Feby Andriana,5,2025-12-09 03:44:07,oke
Azam Azam,3,2025-12-09 03:42:51,kenapa JMO saya gk bisa du buka ya kk?
Nor Sholeh,3,2025-12-09 03:41:45,semoga bermanfaat
Elsa Bila,5,2025-12-09 03:38:54,sangat baik
Achmad mansyuri,5,2025-12-09 03:35:54,bagus untuk mengetahui pembayaran dan nominal nya
Kiell Sinurat,5,2025-12-09 03:28:08,semoga semakin bermakin bermanfaat kedepannya
Danang Agus prayitno,5,2025-12-09 03:23:31,good
Ramli Raykyu,5,2025-12-09 03:23:27,membantu dalam pengecekan berkala
Rais Arsyad Rais23,5,2025-12-09 03:20:02,sangat baik
Nehru Manullang,5,2025-12-09 03:16:14,mantap
Rendy Hydra,1,2025-12-09 03:16:06,"jelek tidak bisa di buka, mental terus"
Agus Sopian,5,2025-12-09 03:14:05,sangat informatif dan mudah cara penggunaannya.
Suherman,5,2025-12-09 03:13:18,mantap
Dy Rianto,5,2025-12-09 03:12:32,mntap
Arfa Wijaya,1,2025-12-09 03:09:53,tidak bisa di buka tolong perbaiki masih belum bisa dibuka hp saya samsung a02s
WAHYU RESA,5,2025-12-09 03:09:28,MANTAVVVV
Hendra Rahmat,5,2025-12-09 03:07:53,good👍
Whidi Anto,5,2025-12-09 03:07:15,ajib
Ita Purnamadewi,5,2025-12-09 03:05:48,bagus
Dwi yatmoko Moko,5,2025-12-09 03:04:25,baik
Maysriadi Eka Eka Saputra,4,2025-12-09 02:47:38,aman
Satria Tia,5,2025-12-09 02:43:15,manfaat
Fadil Fadilpo1,5,2025-12-09 02:42:38,aplikasi sangat membantu
Shera Wati,5,2025-12-09 02:40:09,sangat baik.
Bani Surai,1,2025-12-09 02:35:10,layanan di kantor cabang Kandangan 👎 buang-buang waktu... ribet
Dani Hamdani,5,2025-12-09 02:22:35,sangat berguna untuk tunjangan di hari tua
Kevin Jayaa,5,2025-12-09 02:20:03,mantap
Budi Richie,5,2025-12-09 02:19:04,keren dan cepat
Endang agung Widodo,5,2025-12-09 02:17:12,jmo mantap
Rini Susanti,4,2025-12-09 02:06:18,sangat membantu
Lalu khaidir ali,5,2025-12-09 02:01:15,sanagat membantu sekali
I Made Satya Citta pramudita,5,2025-12-09 01:55:04,luar biasa
Feby putri lisdani,1,2025-12-09 01:54:25,kenapa saya nggak bisa buka aplikasi jmo? tlong solusi nya
Abi Zen,5,2025-12-09 01:50:55,sangat membantu
Digo NP,1,2025-12-09 01:50:05,"baru di donload malah ngelag"" gimana ni"
Narjuki Narjuki,5,2025-12-09 01:43:58,bagus 👍👍👍👍
RIFQIKURNIAWANDa Iky,5,2025-12-09 01:05:22,mantap
Kinanti Putri,5,2025-12-09 01:00:27,Alhamdulillah..coba2 cek saldo ternyata bisa dan klaim berhasil tinggal tunggu masuk ke rek .. tidak perlu berdesakan antri seperti dulu2 .. terimakasih JMO 😍😍
Cluber Macan,5,2025-12-09 00:59:41,bagus bisa buat tabungan cadangan terbaik 👍💯
Maya al barra,5,2025-12-09 00:58:11,mudah di akses
Agus Cahyadi,5,2025-12-09 00:56:59,ok
Tamin Doang,5,2025-12-09 00:42:07,luarbiasa
DMC• Gaming,5,2025-12-09 00:37:55,mantap
Maulana Apriyana,5,2025-12-09 00:25:52,mantap
Tude Joy,5,2025-12-09 00:24:37,semoga lancar
Alexsa Putri,5,2025-12-09 00:22:59,ok
halim pamungkas,5,2025-12-08 23:58:24,bagus
ibnu hajar,5,2025-12-08 23:41:23,Like
Muhkamad Ichsanudin (Ichsan),1,2025-12-08 23:33:03,pembaruan we teroosss
Musareafah Shifa,2,2025-12-08 22:55:13,bagus
Muhammad Sugiarto,5,2025-12-08 22:44:42,semoga baik baik
Hadijatus Saleha,1,2025-12-08 22:40:50,aplikasi tidak bisa di buka padahal baru di donload
Acenk Udin,1,2025-12-08 21:56:58,kok masih gak bisa di buka. bagaimana caranya ini. mohon solusinya
Rizky Utami,5,2025-12-08 21:43:45,sangat membantu
Khairul Amri,5,2025-12-08 21:19:02,bisa membantu keren aplikasi nya
prabu Digjaya sukses,5,2025-12-08 20:28:12,saya sering cek jmo tapi ngak pernah dapat undian handphone
Muhamad Ilham,1,2025-12-08 20:05:52,Setelah di Update Jadi gak bisa Login
Evan Setiawan,5,2025-12-08 18:46:08,sangat membantu
Yusuf Mahendra,5,2025-12-08 18:36:33,sangat bagus
MAAF Ya,5,2025-12-08 18:11:04,sangat membantu
Syamsul Rizal,5,2025-12-08 17:42:02,keluar terus aplikasinya
Jana Orlando,5,2025-12-08 17:15:58,goodluck
Irfan Iskandar,5,2025-12-08 17:15:37,Nuhun
Indra Siswanto,5,2025-12-08 15:43:33,mantap
nanat hzl,4,2025-12-08 15:32:30,sangat berguna buat masa depan
Dedi Wahyudi,5,2025-12-08 15:30:06,semua sdh ok cma terlalu banyak iklan
Mfaisal Ahmad,5,2025-12-08 15:28:55,bagus
Famatohu Zebua,5,2025-12-08 15:07:56,membantu sekalii
Kemala Sari,5,2025-12-08 15:02:33,bagus
Ahmad Suradiyanto,3,2025-12-08 14:33:32,sudah lumayan bagus
dudung suhartono,5,2025-12-08 14:27:17,layanan ini sangat mempermudah dalam semua hal terkait kepesertaan di jmo terimakasih
Otoni Gulo,5,2025-12-08 14:21:02,cek hari tua
Adnan Faturokhman,1,2025-12-08 14:10:32,sering update
mohamad handoyo,5,2025-12-08 14:05:41,tabungan untuk pensiun
Supri degewe,3,2025-12-08 13:58:06,Update tidak kira-kira update setiap bulan
Irwan Yudhistira,5,2025-12-08 13:50:58,baik sekali
Rio Herlanda,1,2025-12-08 13:50:53,dri bintang 5 k bintang 1...jmo kluar trus boro boro login..hpus apk dan hpus data ttp ga bsa malah kluar trus...coba tolong perbaiki bug..sudah 2 mnggu bgini trus...payah ah
Edi Julianto,5,2025-12-08 13:42:50,sangat membantu
Masi Roh,5,2025-12-08 13:26:48,sangat bagus
Arief Zakaria,4,2025-12-08 13:25:23,Oke
Idris Soenardi,5,2025-12-08 13:24:24,sangat terimakasih
Supri Yo,4,2025-12-08 13:20:23,"terim kasih untuk JMO untuk JHTNya,aplikasinya... saya jadi tahu isi saldonya"
Aguss Arwono,5,2025-12-08 13:06:36,sangat bermanfaat untuk informasi pekerja
Cecep Suherman ARSY',5,2025-12-08 13:04:38,top
Yuni Azka,5,2025-12-08 13:01:19,mantap
Akhmad Bukhori,2,2025-12-08 12:57:08,"setelah update sudah lebih dari 4 bulan saya tidak bisa buka aplikasi JMO, sudah berkali kali mencoba tapi tidak dapat buka aplikasi JMO, mohon perhatian nya."
A.H GAMING,5,2025-12-08 12:47:01,semua serba cepat mantap
Aep Mulyana,5,2025-12-08 12:45:11,Amazing
Muhammad Yahya,5,2025-12-08 12:38:35,memudahkan dalam mengecek saldo
Rudi Santoso,5,2025-12-08 12:34:19,mudah di gunakan
Hasbi arrozzaQ,5,2025-12-08 12:15:16,ok
yadimulyadi yadi,5,2025-12-08 12:12:17,memudahkan pengguna BPJS UNTUK BNYAK AITEM
Eko Saputro,5,2025-12-08 12:07:52,sangat berguna
Made Gade,5,2025-12-08 12:03:31,bagus
h w,5,2025-12-08 11:58:55,bagus
"PARMINI SE,MM",5,2025-12-08 11:51:02,good
Yuli Yani,5,2025-12-08 11:47:48,sangat puas
Asep candra Gumilar,4,2025-12-08 11:44:46,sangat membatu
Robi Santubi,5,2025-12-08 11:36:22,"mudah-mudahan suatu saat bisa membantu & semoga amanah,🤲☺🙏"
Aman Krismanto,5,2025-12-08 11:06:06,baik
Ricky Gunawan,5,2025-12-08 10:56:19,akurat & terpercaya
Vetname Vetnam,5,2025-12-08 10:54:57,lebih gampang dan mudah di mengerti
Ichsan habibie,5,2025-12-08 10:49:52,good
Gugun Lm,5,2025-12-08 10:36:14,keren
Dudung,4,2025-12-08 10:36:14,Mantap!
Yuni Selawati,3,2025-12-08 10:34:54,baik pelayanan publik
Irpan,5,2025-12-08 10:34:02,bagus
Sarwono Jancuk,4,2025-12-08 10:32:35,sangat mendukung
Budiman Nasution,5,2025-12-08 10:27:25,mantap
rievaldy W,5,2025-12-08 10:23:22,sangat membantu
Ah Madin,4,2025-12-08 10:21:35,sangat membantu
Kiki 07,5,2025-12-08 10:20:53,mantap
Ahmad Rafi,5,2025-12-08 10:13:53,sangat puas
Ambar Julian,1,2025-12-08 09:56:01,knpa apk nya mental trs ya? udh di download ulang ttp mental2 trs
Helmi We,5,2025-12-08 09:53:02,baik
Sofyan Pian,5,2025-12-08 09:52:50,BAIK
Abdul Manaf,5,2025-12-08 09:48:01,ok
